일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,교통량
2018-01-14,서귀포시,중앙동,44373.084,10340.999,95953.497,150667.58,57.857,33.571,6.7,0,1.6,0
2018-01-14,제주시,한경면,132038.269,6456.353,81254.78,219749.402,51.821,44.536,6.3,0,2.05,684.071
2018-01-14,서귀포시,안덕면,312892.148,42144.912,233314.05,588351.11,51,45.429,6.9,0,2.3,0
2018-01-14,제주시,봉개동,79119.582,6759.27,106157.859,192036.71,35.273,57.091,2.2,0,1.9,0
2018-01-14,제주시,한림읍,426417.487,21015.381,228193.049,675625.917,50.583,62.5,6.3,0,2.05,0
2018-01-14,제주시,도두동,30426.99,3681.76,88650.763,122759.512,38.056,30.833,6.8,0,1.8,1741.833
2018-01-14,제주시,애월읍,762171.869,60057.735,551588.83,1373818.433,51.946,53.663,0.7,0,3.15,113.957
2018-01-14,서귀포시,남원읍,291240.719,17695.899,224387.63,533324.247,53.114,41.2,5.733,0.375,1.667,67.114
2018-01-14,서귀포시,성산읍,274096.189,15969.356,210133.421,500198.965,48.609,55.783,4.9,2,1.5,0
2018-01-14,제주시,화북동,594312.256,23207.157,208641.715,826161.128,34.577,31.423,3.7,0,2.533,1419.654
2018-01-14,제주시,삼양동,470097.26,13587.819,124108.412,607793.492,33.143,16.429,3.7,0,2.533,653.571
2018-01-14,서귀포시,동홍동,387631.543,26923.15,177572.494,592127.187,38.048,32.143,6.7,0,1.6,0
2018-01-14,제주시,삼도2동,105043.569,9091.499,136315.239,250450.306,31.667,14.333,4.7,0,2.3,0
